event_id,rup_id,year,rlzi,structural
177,0,0,0,6.25611E+06
181,0,0,0,1.88094E+04
182,0,0,0,5.91262E+05
183,0,0,0,4.02685E+05
187,0,0,0,1.15789E+04
195,0,0,0,3.97579E+04
198,0,0,0,4.89815E+05
201,0,0,0,1.39323E+05
204,0,0,0,3.40440E+09
205,0,0,0,2.06169E+08
207,0,0,0,1.70082E+07
208,0,0,0,8.24455E+06
209,0,0,0,4.04373E+05
210,0,0,0,9.73742E+05
211,0,0,0,2.17922E+06
212,0,0,0,1.98958E+06
213,0,0,0,7.12468E+04
214,0,0,0,2.69068E+05
215,0,0,0,5.49363E+06
216,0,0,0,9.80407E+06
217,0,0,0,3.62031E+05
218,0,0,0,4.75052E+05
219,0,0,0,1.45626E+06
220,0,0,0,1.30427E+06
221,0,0,0,1.24622E+06
222,0,0,0,1.62575E+07
223,0,0,0,1.78746E+05
224,0,0,0,2.65853E+07
225,0,0,0,3.47962E+07
226,0,0,0,4.66621E+06
227,0,0,0,7.66997E+05
229,0,0,0,2.66597E+07
230,0,0,0,8.44055E+04
231,0,0,0,6.11661E+04
233,0,0,0,7.59292E+06
234,0,0,0,1.01592E+06
235,0,0,0,7.20215E+05
236,0,0,0,1.07273E+06
237,0,0,0,7.36757E+05
238,0,0,0,2.66991E+06
239,0,0,0,6.06723E+06
240,0,0,0,8.17618E+05
241,0,0,0,9.16272E+06
242,0,0,0,1.20292E+07
243,0,0,0,7.42129E+05
245,0,0,0,4.66863E+07
247,0,0,0,3.90285E+05
248,0,0,0,3.18333E+07
249,0,0,0,1.80427E+06
250,0,0,0,5.42034E+05
251,0,0,0,4.33159E+06
252,0,0,0,7.60963E+07
253,0,0,0,1.46901E+07
255,0,0,0,2.47280E+06
256,0,0,0,8.18212E+06
257,0,0,0,2.85478E+06
258,0,0,0,7.22284E+05
259,0,0,0,1.87732E+06
260,0,0,0,2.54976E+06
261,0,0,0,4.68191E+09
262,0,0,0,6.68277E+04
265,0,0,0,1.19590E+06
266,0,0,0,1.32429E+07
268,0,0,0,1.28598E+06
269,0,0,0,4.30433E+05
270,0,0,0,3.63980E+06
272,0,0,0,3.87239E+06
273,0,0,0,6.98269E+06
274,0,0,0,4.26686E+05
275,0,0,0,2.27649E+07
276,0,0,0,2.62947E+06
277,0,0,0,8.09179E+05
278,0,0,0,3.84160E+05
279,0,0,0,9.17464E+05
280,0,0,0,1.53402E+08
281,0,0,0,2.16995E+06
282,0,0,0,1.47990E+07
284,0,0,0,2.03548E+06
285,0,0,0,1.45935E+07
288,0,0,0,4.23623E+07
291,0,0,0,4.92289E+06
292,0,0,0,2.18438E+08
293,0,0,0,2.59530E+05
294,0,0,0,1.70621E+06
295,0,0,0,2.79439E+07
296,0,0,0,7.47290E+04
297,0,0,0,1.31145E+06
298,0,0,0,1.27679E+08
299,0,0,0,5.46239E+04
300,0,0,0,9.63223E+06
301,0,0,0,8.21070E+05
302,0,0,0,2.72087E+07
304,0,0,0,6.77403E+07
305,0,0,0,1.04555E+06
306,0,0,0,7.56603E+07
307,0,0,0,4.09118E+06
308,0,0,0,1.48317E+07
311,0,0,0,5.63269E+07
312,0,0,0,2.50878E+07
313,0,0,0,1.40511E+07
314,0,0,0,2.92443E+06
315,0,0,0,2.83659E+07
317,0,0,0,1.46259E+07
322,0,0,0,2.11777E+05
325,0,0,0,3.52455E+05
326,0,0,0,8.16014E+04
328,0,0,0,8.61250E+04
334,0,0,0,3.63114E+05
345,0,0,0,3.10762E+09
346,0,0,0,6.65465E+05
347,0,0,0,9.78572E+05
348,0,0,0,4.74200E+05
349,0,0,0,7.90636E+06
