eid,aid,mainshock,mag,lon,lat,depth
81,81,TFZ_EQ,4.57304367039,-122.633134862,47.4082060304,7.6397056591
82,82,TFZ_EQ,4.89780371177,-122.869339429,47.5355100279,6.65895999376
83,83,TFZ_EQ,4.71198144007,-122.265693555,47.3352025253,9.32367162417
84,84,TFZ_EQ,4.97903728595,-122.696272835,47.5554472456,19.0387899662
85,85,TFZ_EQ,5.20670509957,-122.295379201,47.5080691811,9.48842740144
86,86,TFZ_EQ,5.42151125286,-122.223228415,47.5509137151,19.8099852153
87,87,TFZ_EQ,4.95652964356,-122.250537533,47.486625662,11.7636872922
88,88,TFZ_EQ,4.50035434845,-122.925491028,47.4043015784,6.86662269264
89,89,TFZ_EQ,5.09980299242,-122.29320977,47.5509594121,18.2582414687
90,90,TFZ_EQ,5.16184839359,-122.244051416,47.3710362944,11.3656859702
91,91,TFZ_EQ,5.24988244802,-122.571181549,47.3914867103,15.3547414961
92,92,TFZ_EQ,5.29788470426,-122.930900603,47.5018645145,19.7393853313
93,93,TFZ_EQ,4.59457772901,-122.408565987,47.5134537327,4.80280560512
94,94,TFZ_EQ,5.30966098321,-122.551733494,47.5520980304,5.5471129566
95,95,TFZ_EQ,4.59343262584,-122.236264557,47.3518800136,15.5273078634
96,0,Sandy_Point_EQ_C,6.096222048766558,-122.761510582,48.718338951,9.89949495322
97,1,Sandy_Point_EQ_C,4.65778118132,-122.824008875,48.6674277573,5.16378018844
98,2,Sandy_Point_EQ_C,4.739668684,-122.566700856,48.8244927558,16.6421019796
99,3,Sandy_Point_EQ_C,4.8821077812,-122.759420043,48.7755526209,7.48449282828
100,4,Sandy_Point_EQ_C,4.93138841475,-122.654580336,48.7213946027,14.8326050381
101,5,Sandy_Point_EQ_C,4.6238085391,-122.807316501,48.7257888015,16.8513939719
102,0,smf_E3,7.040799166851572,-123.20537261,47.5108660171,10.1255534104
103,1,smf_E3,4.95955080652,-123.194992781,47.4278837071,13.6465409828
104,2,smf_E3,5.13997711258,-123.076186824,47.5667503019,13.265160443
105,3,smf_E3,5.70434784138,-123.07501619,47.6527185916,7.7104179483
106,4,smf_E3,5.77305827925,-123.160422047,47.5133029782,4.74716508616
107,5,smf_E3,5.08349770254,-123.217202623,47.4821763927,19.1230172762
108,6,smf_E3,5.03280006964,-123.239465585,47.3478296457,9.01976414151
109,7,smf_E3,4.63785660523,-123.330072332,47.3970681287,11.0814243732
110,8,smf_E3,4.56813714692,-123.286551472,47.5544953974,5.83423909737
111,9,smf_E3,5.0302579494,-123.404208106,47.5232499654,17.3907892785
112,10,smf_E3,4.79797279246,-123.158402333,47.5087999112,4.44210932569
113,11,smf_E3,5.04175594486,-123.279938026,47.4365105516,17.3438521936
114,12,smf_E3,4.96297774291,-123.146554016,47.6204613654,6.24456020461
115,13,smf_E3,5.78173546704,-123.26220474,47.6206755893,18.1850258021
116,14,smf_E3,4.50615247459,-123.196743883,47.4330359529,15.6763621974
117,15,smf_E3,5.20500059675,-123.00052272,47.6165704385,6.63472420012
118,16,smf_E3,5.23632449392,-123.368895305,47.5132230167,13.0530878858
119,17,smf_E3,4.90404025132,-123.361139177,47.4534219547,9.00250102968
120,18,smf_E3,4.51772157839,-123.069142797,47.4647035511,6.85172958259
121,19,smf_E3,5.09128637174,-123.219250904,47.548676528,17.7469151906
122,20,smf_E3,4.95744906685,-123.25558992,47.3696036663,10.4563642641
123,21,smf_E3,4.50599659163,-123.313966926,47.4468203895,10.3766994298
124,22,smf_E3,4.74271476799,-123.131104419,47.5679202204,6.71818679691
125,23,smf_E3,4.63299964863,-123.231457929,47.6228026762,10.1290508174
126,24,smf_E3,5.14854103448,-123.265213485,47.4598816384,17.9458695413
127,25,smf_E3,4.7188345142,-123.172220025,47.4526187747,9.81005936783
128,26,smf_E3,5.08025710916,-123.00791498,47.5384292088,19.225657
129,27,smf_E3,5.17484171567,-123.225740411,47.6258775653,19.1409423873
130,28,smf_E3,5.55960210257,-123.265074177,47.3587814344,6.31837854892
