asset,lon,lat,taxonomy,number,structural,contents,area
53053071406-RM1L-PC,-122.38220,47.07339,RM1L-PC,0.6,155,77,1
53053071406-W1-PC,-122.38220,47.07339,W1-PC,24.9,6746,3373,45
53053071406-C2L-LC,-122.38220,47.07339,C2L-LC,0.8,241,120,2
53053071406-C3L-LC,-122.38220,47.07339,C3L-LC,0.6,148,74,1
53053071406-MH-LC,-122.38220,47.07339,MH-LC,31.1,1677,840,31
53053071406-RM1L-LC,-122.38220,47.07339,RM1L-LC,7.8,2134,1067,14
53053071406-W1-LC,-122.38220,47.07339,W1-LC,343.0,92881,46443,617
53053071406-C2L-MC,-122.38220,47.07339,C2L-MC,3.5,1086,544,8
53053071406-MH-MC,-122.38220,47.07339,MH-MC,140.4,7569,3790,142
53053071406-RM1L-MC,-122.38220,47.07339,RM1L-MC,35.2,9632,4817,65
53053071406-S3-MC,-122.38220,47.07339,S3-MC,1.0,227,114,2
53053071406-W1-MC,-122.38220,47.07339,W1-MC,1548.2,419261,209644,2786
53053071407-MH-LC,-122.35113,47.06182,MH-LC,22.6,1168,586,23
53053071407-RM1L-LC,-122.35113,47.06182,RM1L-LC,5.4,1353,677,9
53053071407-W1-LC,-122.35113,47.06182,W1-LC,257.6,63586,31795,444
53053071407-C2L-MC,-122.35113,47.06182,C2L-MC,1.0,345,173,2
53053071407-MH-MC,-122.35113,47.06182,MH-MC,151.8,7845,3931,152
53053071407-RM1L-MC,-122.35113,47.06182,RM1L-MC,36.5,9087,4544,63
53053071407-W1-MC,-122.35113,47.06182,W1-MC,1729.3,426931,213478,2979
53053071408-MH-PC,-122.42044,47.10983,MH-PC,7.1,407,204,7
53053071408-RM1L-PC,-122.42044,47.10983,RM1L-PC,1.1,255,127,2
53053071408-W1-PC,-122.42044,47.10983,W1-PC,40.4,8728,4365,68
53053071408-C2L-LC,-122.42044,47.10983,C2L-LC,1.4,381,191,3
53053071408-C3L-LC,-122.42044,47.10983,C3L-LC,1.1,321,161,3
53053071408-MH-LC,-122.42044,47.10983,MH-LC,39.4,2260,1133,41
53053071408-RM1L-LC,-122.42044,47.10983,RM1L-LC,6.1,1415,708,11
53053071408-S3-LC,-122.42044,47.10983,S3-LC,0.5,127,64,1
53053071408-W1-LC,-122.42044,47.10983,W1-LC,224.5,48464,24236,377
