asset,lon,lat,taxonomy,number,structural,contents,area
53061053400-W1-MC,-122.14676,48.27739,W1-MC,1145.5,341202,170613,2147
53063003100-C2L-PC,-117.39184,47.64584,C2L-PC,2.7,3708,1855,22
53063003100-C3L-PC,-117.39184,47.64584,C3L-PC,1.2,1123,562,7
53063003100-MH-PC,-117.39184,47.64584,MH-PC,1.5,1425,713,9
53063003100-RM1L-PC,-117.39184,47.64584,RM1L-PC,20.0,5825,2913,43
53063003100-S1L-PC,-117.39184,47.64584,S1L-PC,0.1,279,140,1
53063003100-S3-PC,-117.39184,47.64584,S3-PC,0.7,672,336,4
53063003100-W1-PC,-117.39184,47.64584,W1-PC,1281.4,253589,126821,2094
53063003100-C2L-LC,-117.39184,47.64584,C2L-LC,0.8,1160,580,7
53063003100-C3L-LC,-117.39184,47.64584,C3L-LC,0.4,351,176,2
53063003100-MH-LC,-117.39184,47.64584,MH-LC,0.5,446,223,3
53063003100-RM1L-LC,-117.39184,47.64584,RM1L-LC,6.2,1822,911,13
53063003100-S3-LC,-117.39184,47.64584,S3-LC,0.2,210,105,1
53063003100-W1-LC,-117.39184,47.64584,W1-LC,400.7,79309,39663,655
53033004000-C2L-PC,-122.25237,47.68172,C2L-PC,0.5,1426,713,7
53033004000-C3L-PC,-122.25237,47.68172,C3L-PC,0.8,1797,899,10
53033004000-MH-PC,-122.25237,47.68172,MH-PC,0.2,463,232,3
53033004000-RM1L-PC,-122.25237,47.68172,RM1L-PC,2.1,1752,876,10
53033004000-S3-PC,-122.25237,47.68172,S3-PC,0.1,208,104,1
53033004000-W1-PC,-122.25237,47.68172,W1-PC,103.2,44330,22168,253
53033004000-C2L-MC,-122.25237,47.68172,C2L-MC,3.1,8614,4307,45
53033004000-MH-MC,-122.25237,47.68172,MH-MC,1.2,2798,1399,16
53033004000-RM1L-MC,-122.25237,47.68172,RM1L-MC,12.4,10589,5295,58
53033004000-S1L-MC,-122.25237,47.68172,S1L-MC,0.2,757,379,4
53033004000-S2L-MC,-122.25237,47.68172,S2L-MC,0.1,404,202,2
53033004000-S3-MC,-122.25237,47.68172,S3-MC,0.6,1259,630,7
53033004000-S4L-MC,-122.25237,47.68172,S4L-MC,0.2,670,335,3
53033004000-W1-MC,-122.25237,47.68172,W1-MC,623.4,267856,133946,1529
53063011300-C2L-PC,-117.29030,47.70233,C2L-PC,0.3,379,189,2
53063011300-MH-PC,-117.29030,47.70233,MH-PC,0.7,304,152,2
53063011300-RM1L-PC,-117.29030,47.70233,RM1L-PC,2.7,1104,552,7
53063011300-W1-PC,-117.29030,47.70233,W1-PC,121.3,34374,17188,233
53063011300-C2L-LC,-117.29030,47.70233,C2L-LC,5.3,6502,3252,41
53063011300-C3L-LC,-117.29030,47.70233,C3L-LC,1.1,1343,672,9
53063011300-MH-LC,-117.29030,47.70233,MH-LC,12.5,5211,2610,39
53063011300-RM1L-LC,-117.29030,47.70233,RM1L-LC,46.6,18954,9479,125
53063011300-S3-LC,-117.29030,47.70233,S3-LC,1.7,2001,1001,13
53063011300-W1-LC,-117.29030,47.70233,W1-LC,2081.5,589983,295016,4004
53047970800-C2L-PC,-119.84752,48.19753,C2L-PC,0.4,352,176,2
53047970800-MH-PC,-119.84752,48.19753,MH-PC,28.6,1551,779,29
53047970800-RM1L-PC,-119.84752,48.19753,RM1L-PC,1.9,781,390,5
53047970800-W1-PC,-119.84752,48.19753,W1-PC,73.0,17063,8535,129
53047970800-C2L-LC,-119.84752,48.19753,C2L-LC,6.0,4976,2489,31
53047970800-C3L-LC,-119.84752,48.19753,C3L-LC,1.1,566,283,4
53047970800-MH-LC,-119.84752,48.19753,MH-LC,404.6,21932,11014,411
53047970800-RM1L-LC,-119.84752,48.19753,RM1L-LC,26.5,11034,5519,74
53047970800-S1L-LC,-119.84752,48.19753,S1L-LC,0.3,340,170,2
53047970800-S2L-LC,-119.84752,48.19753,S2L-LC,0.1,237,118,1
53047970800-S3-LC,-119.84752,48.19753,S3-LC,1.4,700,350,5
53047970800-S4L-LC,-119.84752,48.19753,S4L-LC,0.3,396,198,2
53047970800-W1-LC,-119.84752,48.19753,W1-LC,1031.4,241203,120648,1826
53033020401-C2L-PC,-122.31954,47.77082,C2L-PC,0.5,471,236,3
53033020401-C3L-PC,-122.31954,47.77082,C3L-PC,1.5,1171,586,7
53033020401-MH-PC,-122.31954,47.77082,MH-PC,5.1,449,225,6
53033020401-RM1L-PC,-122.31954,47.77082,RM1L-PC,1.9,849,425,5
53033020401-W1-PC,-122.31954,47.77082,W1-PC,78.8,22193,11099,152
53033020401-C2L-MC,-122.31954,47.77082,C2L-MC,6.2,5483,2743,31
53033020401-MH-MC,-122.31954,47.77082,MH-MC,59.9,5229,2621,71
53033020401-RM1L-MC,-122.31954,47.77082,RM1L-MC,22.7,9886,4945,62
53033020401-S1L-MC,-122.31954,47.77082,S1L-MC,0.3,330,165,2
53033020401-S2L-MC,-122.31954,47.77082,S2L-MC,0.2,248,124,1
53033020401-S3-MC,-122.31954,47.77082,S3-MC,1.4,1109,555,7
53033020401-S4L-MC,-122.31954,47.77082,S4L-MC,0.3,326,163,2
53033020401-W1-MC,-122.31954,47.77082,W1-MC,917.4,258454,129252,1769
53033020402-C2L-PC,-122.29703,47.76951,C2L-PC,0.3,228,114,1
53033020402-C3L-PC,-122.29703,47.76951,C3L-PC,1.6,1437,719,10
53033020402-RM1L-PC,-122.29703,47.76951,RM1L-PC,1.4,555,278,4
53033020402-W1-PC,-122.29703,47.76951,W1-PC,53.8,15015,7509,105
53033020402-C2L-MC,-122.29703,47.76951,C2L-MC,7.3,6280,3142,41
53033020402-MH-MC,-122.29703,47.76951,MH-MC,4.4,3804,1903,26
53033020402-RM1L-MC,-122.29703,47.76951,RM1L-MC,37.6,15297,7651,104
53033020402-S3-MC,-122.29703,47.76951,S3-MC,2.1,1817,909,12
53033020402-W1-MC,-122.29703,47.76951,W1-MC,1480.8,413554,206807,2878
53033028600-C3L-PC,-122.34469,47.43297,C3L-PC,1.0,1284,642,8
53033028600-RM1L-PC,-122.34469,47.43297,RM1L-PC,1.3,499,249,3
53033028600-W1-PC,-122.34469,47.43297,W1-PC,59.7,17864,8933,115
53033028600-C2L-MC,-122.34469,47.43297,C2L-MC,4.0,4547,2274,27
53033028600-MH-MC,-122.34469,47.43297,MH-MC,12.8,3280,1644,27
53033028600-RM1L-MC,-122.34469,47.43297,RM1L-MC,47.0,17938,8971,113
53033028600-S3-MC,-122.34469,47.43297,S3-MC,1.2,1450,725,9
53033028600-W1-MC,-122.34469,47.43297,W1-MC,2145.9,642435,321252,4149
53033008300-C2L-PC,-122.32800,47.61182,C2L-PC,1.1,7232,3616,39
53033008300-C3L-PC,-122.32800,47.61182,C3L-PC,0.7,5733,2867,32
53033008300-MH-PC,-122.32800,47.61182,MH-PC,0.4,3190,1595,18
53033008300-RM1L-PC,-122.32800,47.61182,RM1L-PC,2.1,8225,4113,44
53033008300-S1L-PC,-122.32800,47.61182,S1L-PC,0.1,348,174,2
53033008300-S3-PC,-122.32800,47.61182,S3-PC,0.2,1705,853,9
53033008300-S4L-PC,-122.32800,47.61182,S4L-PC,0.1,277,139,1
53033008300-W1-PC,-122.32800,47.61182,W1-PC,60.6,86214,43111,504
53033008300-C2L-MC,-122.32800,47.61182,C2L-MC,2.0,13529,6765,72
53033008300-MH-MC,-122.32800,47.61182,MH-MC,0.7,5967,2984,33
53033008300-RM1L-MC,-122.32800,47.61182,RM1L-MC,3.8,15386,7694,83
53033008300-S1L-MC,-122.32800,47.61182,S1L-MC,0.1,651,326,3
53033008300-S2L-MC,-122.32800,47.61182,S2L-MC,0.1,247,123,1
53033008300-S3-MC,-122.32800,47.61182,S3-MC,0.4,3189,1595,18
53033008300-S4L-MC,-122.32800,47.61182,S4L-MC,0.1,519,259,3
53033008300-W1-MC,-122.32800,47.61182,W1-MC,113.4,161280,80647,943
53007961100-C2L-PC,-120.30580,47.40042,C2L-PC,1.4,1342,671,8
53007961100-C3L-PC,-120.30580,47.40042,C3L-PC,0.4,213,107,2
53007961100-MH-PC,-120.30580,47.40042,MH-PC,66.0,3767,1889,68
53007961100-RM1L-PC,-120.30580,47.40042,RM1L-PC,8.1,2657,1329,19
53007961100-S3-PC,-120.30580,47.40042,S3-PC,0.4,210,105,2
53007961100-W1-PC,-120.30580,47.40042,W1-PC,370.0,76342,38179,621
53007961100-C2L-LC,-120.30580,47.40042,C2L-LC,6.9,6839,3421,43
53007961100-C3L-LC,-120.30580,47.40042,C3L-LC,1.9,1087,544,8
53007961100-MH-LC,-120.30580,47.40042,MH-LC,336.6,19201,9627,348
53007961100-RM1L-LC,-120.30580,47.40042,RM1L-LC,41.1,13543,6773,98
53007961100-S1L-LC,-120.30580,47.40042,S1L-LC,0.2,527,263,3
53007961100-S2L-LC,-120.30580,47.40042,S2L-LC,0.1,382,191,2
53007961100-S3-LC,-120.30580,47.40042,S3-LC,1.9,1071,536,8
53007961100-S4L-LC,-120.30580,47.40042,S4L-LC,0.2,494,247,3
53007961100-W1-LC,-120.30580,47.40042,W1-LC,1886.0,389159,194621,3166
53035091800-MH-PC,-122.60212,47.60839,MH-PC,6.6,349,175,7
53035091800-RM1L-PC,-122.60212,47.60839,RM1L-PC,1.8,546,273,4
53035091800-W1-PC,-122.60212,47.60839,W1-PC,83.4,22163,11082,149
53035091800-C2L-MC,-122.60212,47.60839,C2L-MC,2.1,1709,855,9
53035091800-MH-MC,-122.60212,47.60839,MH-MC,81.4,4307,2164,82
53035091800-RM1L-MC,-122.60212,47.60839,RM1L-MC,21.6,6729,3365,43
53035091800-S1L-MC,-122.60212,47.60839,S1L-MC,0.1,212,106,1
53035091800-S4L-MC,-122.60212,47.60839,S4L-MC,0.1,259,129,1
53035091800-W1-MC,-122.60212,47.60839,W1-MC,1028.6,273341,136677,1834
53057940500-C2L-PC,-122.61661,48.49540,C2L-PC,0.9,1049,525,6
53057940500-C3L-PC,-122.61661,48.49540,C3L-PC,0.3,269,134,2
53057940500-MH-PC,-122.61661,48.49540,MH-PC,1.7,410,206,3
53057940500-RM1L-PC,-122.61661,48.49540,RM1L-PC,2.7,1556,778,9
53057940500-S3-PC,-122.61661,48.49540,S3-PC,0.2,186,93,1
53057940500-W1-PC,-122.61661,48.49540,W1-PC,93.0,24735,12371,177
53057940500-C2L-LC,-122.61661,48.49540,C2L-LC,2.5,3087,1544,17
53057940500-C3L-LC,-122.61661,48.49540,C3L-LC,1.0,791,396,5
53057940500-MH-LC,-122.61661,48.49540,MH-LC,4.9,1208,605,10
53057940500-RM1L-LC,-122.61661,48.49540,RM1L-LC,8.0,4581,2291,27
53057940500-S1L-LC,-122.61661,48.49540,S1L-LC,0.1,265,132,1
53057940500-S3-LC,-122.61661,48.49540,S3-LC,0.6,547,274,3
53057940500-S4L-LC,-122.61661,48.49540,S4L-LC,0.1,306,153,1
53057940500-W1-LC,-122.61661,48.49540,W1-LC,273.7,72809,36414,521
53057940500-C2L-MC,-122.61661,48.49540,C2L-MC,3.5,4339,2170,24
53057940500-MH-MC,-122.61661,48.49540,MH-MC,6.9,1697,850,14
53057940500-RM1L-MC,-122.61661,48.49540,RM1L-MC,11.2,6438,3220,38
53057940500-S1L-MC,-122.61661,48.49540,S1L-MC,0.2,372,186,2
53057940500-S3-MC,-122.61661,48.49540,S3-MC,0.9,769,385,5
53057940500-S4L-MC,-122.61661,48.49540,S4L-MC,0.2,429,215,2
53057940500-W1-MC,-122.61661,48.49540,W1-MC,384.7,102332,51179,732
53009001500-MH-PC,-123.36510,47.93062,MH-PC,12.8,657,330,13
53009001500-RM1L-PC,-123.36510,47.93062,RM1L-PC,1.2,261,130,2
53009001500-W1-PC,-123.36510,47.93062,W1-PC,60.7,12245,6124,97
53009001500-MH-LC,-123.36510,47.93062,MH-LC,42.3,2173,1091,42
53009001500-RM1L-LC,-123.36510,47.93062,RM1L-LC,4.1,863,431,7
53009001500-W1-LC,-123.36510,47.93062,W1-LC,200.7,40483,20247,320
53009001500-MH-MC,-123.36510,47.93062,MH-MC,104.7,5376,2698,104
53009001500-RM1L-MC,-123.36510,47.93062,RM1L-MC,10.0,2135,1068,16
53009001500-W1-MC,-123.36510,47.93062,W1-MC,496.7,100175,50100,792
53011041309-RM1L-PC,-122.53657,45.60318,RM1L-PC,0.4,192,96,1
53011041309-W1-PC,-122.53657,45.60318,W1-PC,13.8,4068,2035,28
53011041309-C2L-LC,-122.53657,45.60318,C2L-LC,2.8,2430,1215,15
53011041309-C3L-LC,-122.53657,45.60318,C3L-LC,1.3,1050,525,7
53011041309-MH-LC,-122.53657,45.60318,MH-LC,1.7,1404,702,10
53011041309-RM1L-LC,-122.53657,45.60318,RM1L-LC,10.7,5082,2542,33
53011041309-S3-LC,-122.53657,45.60318,S3-LC,0.7,577,289,4
53011041309-W1-LC,-122.53657,45.60318,W1-LC,364.4,107814,53915,737
53011041309-C2L-MC,-122.53657,45.60318,C2L-MC,6.6,5806,2904,37
53011041309-MH-MC,-122.53657,45.60318,MH-MC,4.2,3354,1677,23
53011041309-RM1L-MC,-122.53657,45.60318,RM1L-MC,25.5,12144,6074,79
53011041309-S1L-MC,-122.53657,45.60318,S1L-MC,0.2,201,101,1
53011041309-S3-MC,-122.53657,45.60318,S3-MC,1.7,1379,690,9
53011041309-S4L-MC,-122.53657,45.60318,S4L-MC,0.4,373,187,2
53011041309-W1-MC,-122.53657,45.60318,W1-MC,870.8,257606,128822,1761
53011041310-W1-PC,-122.51559,45.59707,W1-PC,11.2,3284,1642,22
53011041310-C2L-LC,-122.51559,45.59707,C2L-LC,0.5,347,174,2
53011041310-C3L-LC,-122.51559,45.59707,C3L-LC,1.0,648,324,5
53011041310-MH-LC,-122.51559,45.59707,MH-LC,0.3,205,102,2
53011041310-RM1L-LC,-122.51559,45.59707,RM1L-LC,2.8,1052,526,7
53011041310-W1-LC,-122.51559,45.59707,W1-LC,109.0,32018,16010,211
53011041310-C2L-MC,-122.51559,45.59707,C2L-MC,7.6,5553,2778,39
53011041310-MH-MC,-122.51559,45.59707,MH-MC,5.2,3274,1637,25
53011041310-RM1L-MC,-122.51559,45.59707,RM1L-MC,44.5,16825,8414,114
53011041310-S1L-MC,-122.51559,45.59707,S1L-MC,0.2,203,101,1
53011041310-S2L-MC,-122.51559,45.59707,S2L-MC,0.2,201,101,1
53011041310-S3-MC,-122.51559,45.59707,S3-MC,2.1,1312,656,10
53011041310-S4L-MC,-122.51559,45.59707,S4L-MC,0.3,401,200,2
53011041310-W1-MC,-122.51559,45.59707,W1-MC,1742.5,512015,256025,3367
53011041312-C2L-LC,-122.54369,45.66340,C2L-LC,0.7,664,332,4
53011041312-C3L-LC,-122.54369,45.66340,C3L-LC,1.0,995,498,6
53011041312-MH-LC,-122.54369,45.66340,MH-LC,57.3,3438,1720,60
53011041312-RM1L-LC,-122.54369,45.66340,RM1L-LC,2.3,1198,599,8
53011041312-S3-LC,-122.54369,45.66340,S3-LC,0.2,221,111,1
53011041312-W1-LC,-122.54369,45.66340,W1-LC,72.2,18294,9148,146
53011041312-C2L-MC,-122.54369,45.66340,C2L-MC,5.1,5012,2506,32
53011041312-MH-MC,-122.54369,45.66340,MH-MC,432.4,25949,12984,452
53011041312-RM1L-MC,-122.54369,45.66340,RM1L-MC,17.4,9039,4520,62
53011041312-S3-MC,-122.54369,45.66340,S3-MC,1.7,1671,835,11
53011041312-W1-MC,-122.54369,45.66340,W1-MC,544.7,138063,69041,1100
53011041313-C2L-LC,-122.56302,45.65486,C2L-LC,1.6,1058,529,7
53011041313-C3L-LC,-122.56302,45.65486,C3L-LC,1.6,916,458,7
53011041313-MH-LC,-122.56302,45.65486,MH-LC,3.2,801,401,7
53011041313-RM1L-LC,-122.56302,45.65486,RM1L-LC,3.6,1686,843,12
53011041313-S3-LC,-122.56302,45.65486,S3-LC,0.5,296,148,2
53011041313-W1-LC,-122.56302,45.65486,W1-LC,80.0,20833,10418,170
53011041313-C2L-MC,-122.56302,45.65486,C2L-MC,7.2,4837,2419,33
53011041313-MH-MC,-122.56302,45.65486,MH-MC,14.5,3662,1832,32
53011041313-RM1L-MC,-122.56302,45.65486,RM1L-MC,16.4,7709,3855,56
53011041313-S3-MC,-122.56302,45.65486,S3-MC,2.3,1355,678,10
53011041313-W1-MC,-122.56302,45.65486,W1-MC,365.7,95228,47622,776
53011041317-C2L-PC,-122.55246,45.63221,C2L-PC,0.2,250,125,1
53011041317-MH-PC,-122.55246,45.63221,MH-PC,0.4,160,80,1
53011041317-RM1L-PC,-122.55246,45.63221,RM1L-PC,0.7,470,235,3
53011041317-W1-PC,-122.55246,45.63221,W1-PC,24.5,6560,3281,50
53011041317-C2L-LC,-122.55246,45.63221,C2L-LC,1.6,2318,1159,14
53011041317-C3L-LC,-122.55246,45.63221,C3L-LC,1.0,1293,647,8
53011041317-MH-LC,-122.55246,45.63221,MH-LC,3.4,1483,743,11
53011041317-RM1L-LC,-122.55246,45.63221,RM1L-LC,6.7,4360,2180,28
53011041317-S3-LC,-122.55246,45.63221,S3-LC,0.4,614,307,4
53011041317-W1-LC,-122.55246,45.63221,W1-LC,227.2,60878,30445,466
53011041317-C2L-MC,-122.55246,45.63221,C2L-MC,5.3,7434,3718,44
53011041317-MH-MC,-122.55246,45.63221,MH-MC,10.8,4757,2381,35
53011041317-RM1L-MC,-122.55246,45.63221,RM1L-MC,21.6,13981,6992,89
53011041317-S1L-MC,-122.55246,45.63221,S1L-MC,0.2,279,140,1
53011041317-S3-MC,-122.55246,45.63221,S3-MC,1.4,1968,984,12
53011041317-S4L-MC,-122.55246,45.63221,S4L-MC,0.2,346,173,2
53011041317-W1-MC,-122.55246,45.63221,W1-MC,728.6,195231,97634,1493
53011041318-C2L-LC,-122.53716,45.63202,C2L-LC,1.9,2042,1022,13
53011041318-C3L-LC,-122.53716,45.63202,C3L-LC,1.1,1134,567,7
53011041318-MH-LC,-122.53716,45.63202,MH-LC,23.0,2527,1265,30
53011041318-RM1L-LC,-122.53716,45.63202,RM1L-LC,9.3,4304,2152,29
53011041318-S3-LC,-122.53716,45.63202,S3-LC,0.6,629,314,4
53011041318-W1-LC,-122.53716,45.63202,W1-LC,335.5,82421,41216,631
53011041318-C2L-MC,-122.53716,45.63202,C2L-MC,4.9,5338,2670,33
53011041318-MH-MC,-122.53716,45.63202,MH-MC,60.0,6604,3306,80
53011041318-RM1L-MC,-122.53716,45.63202,RM1L-MC,24.2,11249,5626,76
53011041318-S3-MC,-122.53716,45.63202,S3-MC,1.5,1643,822,10
53011041318-W1-MC,-122.53716,45.63202,W1-MC,876.8,215427,107727,1650
53011041319-W1-PC,-122.51776,45.63523,W1-PC,11.9,3331,1665,22
53011041319-C2L-LC,-122.51776,45.63523,C2L-LC,0.5,192,96,1
53011041319-MH-LC,-122.51776,45.63523,MH-LC,8.7,497,250,9
53011041319-RM1L-LC,-122.51776,45.63523,RM1L-LC,6.4,1822,911,12
53011041319-W1-LC,-122.51776,45.63523,W1-LC,288.9,80769,40388,526
53011041319-C2L-MC,-122.51776,45.63523,C2L-MC,3.0,1120,561,8
53011041319-MH-MC,-122.51776,45.63523,MH-MC,51.0,2899,1459,53
53011041319-RM1L-MC,-122.51776,45.63523,RM1L-MC,37.2,10626,5314,70
53011041319-S3-MC,-122.51776,45.63523,S3-MC,0.7,158,79,1
53011041319-W1-MC,-122.51776,45.63523,W1-MC,1685.0,471014,235528,3070
53011041320-RM1L-PC,-122.51256,45.62161,RM1L-PC,0.5,175,87,1
53011041320-W1-PC,-122.51256,45.62161,W1-PC,17.3,4509,2255,32
53011041320-C2L-LC,-122.51256,45.62161,C2L-LC,1.6,1226,613,8
53011041320-C3L-LC,-122.51256,45.62161,C3L-LC,1.4,1037,519,7
53011041320-MH-LC,-122.51256,45.62161,MH-LC,1.4,1012,506,7
53011041320-RM1L-LC,-122.51256,45.62161,RM1L-LC,8.4,3173,1587,22
53011041320-S3-LC,-122.51256,45.62161,S3-LC,0.5,409,204,3
53011041320-W1-LC,-122.51256,45.62161,W1-LC,314.2,81977,40994,591
53011041320-C2L-MC,-122.51256,45.62161,C2L-MC,6.5,4832,2417,32
53011041320-MH-MC,-122.51256,45.62161,MH-MC,5.4,3986,1994,27
53011041320-RM1L-MC,-122.51256,45.62161,RM1L-MC,33.0,12501,6252,87
53011041320-S3-MC,-122.51256,45.62161,S3-MC,2.2,1611,806,11
53011041320-W1-MC,-122.51256,45.62161,W1-MC,1237.8,322989,161515,2327
53011041321-MH-PC,-122.48885,45.62890,MH-PC,3.6,184,92,4
53011041321-W1-PC,-122.48885,45.62890,W1-PC,16.1,4015,2007,28
53011041321-MH-LC,-122.48885,45.62890,MH-LC,13.4,693,347,13
53011041321-RM1L-LC,-122.48885,45.62890,RM1L-LC,1.3,332,166,2
53011041321-W1-LC,-122.48885,45.62890,W1-LC,60.6,15108,7555,105
53011041321-C2L-MC,-122.48885,45.62890,C2L-MC,0.6,271,136,2
53011041321-MH-MC,-122.48885,45.62890,MH-MC,170.4,8812,4410,170
53011041321-RM1L-MC,-122.48885,45.62890,RM1L-MC,16.4,4225,2113,29
53011041321-W1-MC,-122.48885,45.62890,W1-MC,770.3,192172,96096,1336
53011041322-C2L-LC,-122.54081,45.61543,C2L-LC,3.1,2446,1223,15
53011041322-C3L-LC,-122.54081,45.61543,C3L-LC,2.5,1992,996,13
53011041322-MH-LC,-122.54081,45.61543,MH-LC,2.4,1881,941,12
53011041322-RM1L-LC,-122.54081,45.61543,RM1L-LC,7.3,4112,2057,27
53011041322-S3-LC,-122.54081,45.61543,S3-LC,1.0,778,389,5
53011041322-W1-LC,-122.54081,45.61543,W1-LC,174.7,56262,28135,401
53011041322-C2L-MC,-122.54081,45.61543,C2L-MC,11.2,8774,4388,55
53011041322-MH-MC,-122.54081,45.61543,MH-MC,8.6,6748,3375,43
53011041322-RM1L-MC,-122.54081,45.61543,RM1L-MC,26.2,14752,7377,96
53011041322-S3-MC,-122.54081,45.61543,S3-MC,3.5,2789,1395,18
53011041322-W1-MC,-122.54081,45.61543,W1-MC,626.6,201821,100923,1439
53011041323-C2L-LC,-122.51492,45.61128,C2L-LC,2.2,2359,1180,14
53011041323-C3L-LC,-122.51492,45.61128,C3L-LC,1.6,1361,681,9
53011041323-MH-LC,-122.51492,45.61128,MH-LC,24.4,2302,1152,31
53011041323-RM1L-LC,-122.51492,45.61128,RM1L-LC,6.9,3889,1945,25
53011041323-S3-LC,-122.51492,45.61128,S3-LC,0.5,457,229,3
53011041323-S4L-LC,-122.51492,45.61128,S4L-LC,0.1,234,117,1
53011041323-W1-LC,-122.51492,45.61128,W1-LC,211.2,55472,27739,418
53011041323-C2L-MC,-122.51492,45.61128,C2L-MC,10.4,11317,5660,68
53011041323-MH-MC,-122.51492,45.61128,MH-MC,117.2,11044,5525,146
53011041323-RM1L-MC,-122.51492,45.61128,RM1L-MC,33.3,18656,9330,121
53011041323-S1L-MC,-122.51492,45.61128,S1L-MC,0.4,584,292,3
53011041323-S2L-MC,-122.51492,45.61128,S2L-MC,0.3,567,284,3
53011041323-S3-MC,-122.51492,45.61128,S3-MC,2.6,2195,1098,15
53011041323-S4L-MC,-122.51492,45.61128,S4L-MC,0.7,1121,561,6
53011041323-W1-MC,-122.51492,45.61128,W1-MC,1013.3,266105,133067,2004
53011041325-W1-PC,-122.47992,45.58859,W1-PC,6.6,1958,979,12
53011041325-MH-LC,-122.47992,45.58859,MH-LC,6.4,334,167,6
53011041325-RM1L-LC,-122.47992,45.58859,RM1L-LC,1.3,377,188,2
53011041325-W1-LC,-122.47992,45.58859,W1-LC,61.1,18109,9055,114
53011041325-C2L-MC,-122.47992,45.58859,C2L-MC,0.3,175,88,1
53011041325-MH-MC,-122.47992,45.58859,MH-MC,166.8,8638,4326,167
53011041325-RM1L-MC,-122.47992,45.58859,RM1L-MC,32.5,9748,4875,62
53011041325-W1-MC,-122.47992,45.58859,W1-MC,1582.0,468883,234456,2955
53011041326-MH-PC,-122.51860,45.66449,MH-PC,1.0,52,26,1
53011041326-W1-PC,-122.51860,45.66449,W1-PC,24.4,5576,2788,41
53011041326-MH-LC,-122.51860,45.66449,MH-LC,2.6,130,66,3
53011041326-RM1L-LC,-122.51860,45.66449,RM1L-LC,1.3,318,159,2
53011041326-W1-LC,-122.51860,45.66449,W1-LC,61.0,13939,6970,102
53011041326-C2L-MC,-122.51860,45.66449,C2L-MC,0.5,452,226,2
53011041326-MH-MC,-122.51860,45.66449,MH-MC,29.4,1497,755,29
53011041326-RM1L-MC,-122.51860,45.66449,RM1L-MC,14.6,3649,1825,26
53011041326-W1-MC,-122.51860,45.66449,W1-MC,701.1,160169,80092,1170
53011041327-RM1L-LC,-122.49221,45.64937,RM1L-LC,1.1,331,166,2
53011041327-W1-LC,-122.49221,45.64937,W1-LC,54.3,14660,7331,97
53011041327-C2L-MC,-122.49221,45.64937,C2L-MC,1.8,1516,759,8
53011041327-RM1L-MC,-122.49221,45.64937,RM1L-MC,52.2,15088,7545,98
53011041327-S1L-MC,-122.49221,45.64937,S1L-MC,0.2,199,100,1
53011041327-S4L-MC,-122.49221,45.64937,S4L-MC,0.4,376,188,2
53011041327-W1-MC,-122.49221,45.64937,W1-MC,2473.2,667891,333967,4425
53011041328-C3L-PC,-122.47493,45.60108,C3L-PC,0.8,645,323,4
53011041328-RM1L-PC,-122.47493,45.60108,RM1L-PC,0.6,240,120,2
53011041328-W1-PC,-122.47493,45.60108,W1-PC,23.5,6856,3429,46
53011041328-C3L-LC,-122.47493,45.60108,C3L-LC,0.4,323,161,2
53011041328-W1-LC,-122.47493,45.60108,W1-LC,11.7,3428,1714,23
53011041328-C2L-MC,-122.47493,45.60108,C2L-MC,7.1,5672,2837,39
53011041328-MH-MC,-122.47493,45.60108,MH-MC,16.6,5117,2563,43
53011041328-RM1L-MC,-122.47493,45.60108,RM1L-MC,42.2,16804,8404,114
53011041328-S3-MC,-122.47493,45.60108,S3-MC,2.4,1858,929,13
53011041328-W1-MC,-122.47493,45.60108,W1-MC,1642.5,479454,239756,3230
53011041329-C3L-LC,-122.48888,45.61343,C3L-LC,0.1,236,118,1
53011041329-RM1L-LC,-122.48888,45.61343,RM1L-LC,0.6,264,132,2
53011041329-W1-LC,-122.48888,45.61343,W1-LC,29.0,8226,4113,54
53011041329-C2L-MC,-122.48888,45.61343,C2L-MC,0.4,2123,1062,12
53011041329-MH-MC,-122.48888,45.61343,MH-MC,0.2,1146,573,7
53011041329-RM1L-MC,-122.48888,45.61343,RM1L-MC,28.5,12303,6152,75
53011041329-S3-MC,-122.48888,45.61343,S3-MC,0.1,460,230,3
53011041329-W1-MC,-122.48888,45.61343,W1-MC,1349.8,383477,191752,2534
53011041330-RM1L-PC,-122.53897,45.65026,RM1L-PC,0.7,186,93,1
53011041330-W1-PC,-122.53897,45.65026,W1-PC,33.0,7561,3781,55
53011041330-C2L-LC,-122.53897,45.65026,C2L-LC,0.6,399,200,2
53011041330-RM1L-LC,-122.53897,45.65026,RM1L-LC,8.7,2246,1123,16
53011041330-W1-LC,-122.53897,45.65026,W1-LC,398.6,91253,45630,668
53011041330-C2L-MC,-122.53897,45.65026,C2L-MC,1.5,1068,535,6
53011041330-MH-MC,-122.53897,45.65026,MH-MC,0.5,122,61,1
53011041330-RM1L-MC,-122.53897,45.65026,RM1L-MC,23.3,6018,3010,42
53011041330-S4L-MC,-122.53897,45.65026,S4L-MC,0.2,204,102,1
53011041330-W1-MC,-122.53897,45.65026,W1-MC,1068.1,244546,122282,1790
53011041331-W1-PC,-122.55206,45.64959,W1-PC,3.8,740,370,6
53011041331-C2L-LC,-122.55206,45.64959,C2L-LC,0.5,367,184,2
53011041331-C3L-LC,-122.55206,45.64959,C3L-LC,0.5,383,192,3
