GEOID10,INTPTLAT10,INTPTLON10
53035090400,+47.7102631,-122.6785877
53035940100,+47.7322265,-122.5848131
53035940000,+47.7553263,-122.5115056
53035091100,+47.6758713,-122.6317757
53035080800,+47.5877911,-122.6911832
53035092802,+47.4533702,-122.5753609
53035092803,+47.4150138,-122.5864467
53035092902,+47.4341433,-122.6417881
53035090202,+47.8017003,-122.6118080
53035090502,+47.7402073,-122.6267559
53035090201,+47.7826635,-122.6720419
53035090501,+47.7426164,-122.6545971
53035092704,+47.5064576,-122.5168074
53035092701,+47.4929960,-122.5767433
53035990100,+47.7235943,-122.4593993
53053062000,+47.2293124,-122.4184094
53053071601,+47.1797628,-122.4100405
53053073111,+47.1222606,-122.2774345
53053940007,+47.2321170,-122.4011947
53053940006,+47.2153941,-122.4012241
53053073116,+47.0222680,-122.3223800
53053072800,+47.1023688,-122.6646903
53053072107,+47.1677820,-122.5585803
53053071703,+47.1709835,-122.4639940
53053073113,+47.0719425,-122.2649319
53053072506,+47.3645964,-122.5517132
53053071411,+47.0718234,-122.4088549
53053071410,+47.0857643,-122.4199422
53053072308,+47.2057027,-122.5747949
53053940010,+47.2059953,-122.3015523
53053071409,+47.1007056,-122.4174613
53053073302,+47.1972462,-122.2371882
53053071803,+47.1847255,-122.5078626
53053073115,+47.0394147,-122.3483495
53053072106,+47.1861360,-122.5339610
53053072105,+47.1871468,-122.5532610
53053062600,+47.2203846,-122.4773836
53053073200,+46.8396447,-122.1317883
53053072410,+47.2524317,-122.6399961
53053073110,+47.1337449,-122.2530423
53053073108,+47.0940827,-122.3370511
53053071902,+47.1530137,-122.5374064
53053072307,+47.2165495,-122.5529414
53053072311,+47.2315090,-122.5321758
53053072109,+47.1668216,-122.6128467
53053072407,+47.2984272,-122.5635095
53053073001,+46.9683597,-122.5002896
53053070100,+46.9553624,-121.8157019
53053073006,+46.8987783,-122.4184454
53053070206,+47.1089989,-122.0918590
53053071506,+47.1216337,-122.4054248
53053071504,+47.1456890,-122.4452788
53053070309,+47.1858588,-122.1481055
53053063501,+47.1864470,-122.4512342
53053071901,+47.1583515,-122.5177139
53053062900,+47.2003278,-122.4786272
53053063000,+47.1971869,-122.4677762
53053070401,+47.1679233,-122.2248326
53053063502,+47.1750750,-122.4516642
53053072405,+47.2956531,-122.6750802
53053061200,+47.2490842,-122.4745331
53053073404,+47.1826415,-122.3069138
53053073005,+46.9733114,-122.3874181
53053072504,+47.3460517,-122.6414481
53053072309,+47.2248260,-122.5651033
53053060300,+47.3068050,-122.5268439
53053071706,+47.1564998,-122.4672848
53053071705,+47.1641662,-122.4433982
53053071704,+47.1638216,-122.4667714
53053072408,+47.2834071,-122.5809474
