USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
WA,53053063501,1915152,6994,0.739,0.003,47.186447,-122.4512342
WA,53053063502,1927509,9524,0.744,0.004,47.175075,-122.4516642
WA,53053070100,1896145579,14175990,732.106,5.473,46.9558334,-121.816555
WA,53053070203,35618996,433041,13.753,0.167,47.1287572,-122.1842702
WA,53053070204,5175166,62266,1.998,0.024,47.1424677,-122.1276898
WA,53053070205,19200296,48014,7.413,0.019,47.1593963,-122.0886541
WA,53053070206,38985408,419139,15.052,0.162,47.1095713,-122.0921198
WA,53053070207,32748147,794131,12.644,0.307,47.1508943,-122.0115296
WA,53053070307,27800567,695798,10.734,0.269,47.2120409,-122.1281966
WA,53053070308,3218744,70628,1.243,0.027,47.1825339,-122.1769452
WA,53053070309,11566878,21534,4.466,0.008,47.185835,-122.1480816
WA,53053070310,5623193,44073,2.171,0.017,47.1607452,-122.1649269
WA,53053070311,4985148,1573,1.925,0.001,47.1573307,-122.1379143
WA,53053070312,8306712,15974,3.207,0.006,47.166539,-122.2056765
WA,53053070313,13820613,158785,5.336,0.061,47.2078839,-122.193698
WA,53053070314,4101382,1672505,1.584,0.646,47.2247289,-122.1859129
WA,53053070315,9755668,74461,3.767,0.029,47.239506,-122.166015
WA,53053070316,3468369,2673,1.339,0.001,47.2464552,-122.215589
WA,53053070401,9393185,345146,3.627,0.133,47.1679233,-122.2248326
WA,53053070403,13959396,262086,5.39,0.101,47.0801503,-122.2071286
WA,53053070404,5031959,204498,1.943,0.079,47.1116228,-122.2200468
WA,53053070703,5722528,103929,2.209,0.04,47.2489124,-122.3177058
WA,53053071100,6512501,2443,2.514,0.001,47.1754126,-122.3686447
WA,53053071205,7824423,1769,3.021,0.001,47.1871648,-122.3417554
WA,53053071206,7884512,6124,3.044,0.002,47.1661273,-122.323965
WA,53053071207,4852554,38129,1.874,0.015,47.1609895,-122.2813654
WA,53053071208,3685685,4004,1.423,0.002,47.1444308,-122.2782321
