USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
WA	53011043100	3010904	368254	       1.163	       0.142	 45.6141997	-122.5882431                                                                                                                        
WA	53013960200	2249624737	12561762	     868.585	       4.850	 46.2928505	-117.9116345                                                                                                                   
WA	53015000300	24002395	12127859	       9.267	       4.683	 46.1039654	-122.9314329                                                                                                                     
WA	53015000400	2188952	129348	       0.845	       0.050	 46.1377561	-122.9451253                                                                                                                        
WA	53015000501	1105595	0	       0.427	       0.000	 46.1279208	-122.9523468                                                                                                                             
WA	53015000502	1467984	0	       0.567	       0.000	 46.1252755	-122.9607436                                                                                                                             
WA	53015000601	1226953	0	       0.474	       0.000	 46.1399901	-122.9668806                                                                                                                             
WA	53015000602	2310984	0	       0.892	       0.000	 46.1451152	-122.9541686                                                                                                                             
WA	53015000702	2978998	0	       1.150	       0.000	 46.1553533	-122.9711610                                                                                                                             
WA	53015000703	5020435	114678	       1.938	       0.044	 46.1555542	-123.0023854                                                                                                                        
WA	53015000704	6629364	0	       2.560	       0.000	 46.1687751	-122.9960412                                                                                                                             
WA	53015000800	16010986	142110	       6.182	       0.055	 46.1721458	-122.9549844                                                                                                                       
WA	53015000900	13612796	334597	       5.256	       0.129	 46.1809520	-122.9271421                                                                                                                       
WA	53015001000	785580	51491	       0.303	       0.020	 46.1462992	-122.9153962                                                                                                                          
WA	53015001100	6541358	601653	       2.526	       0.232	 46.1283435	-122.9026388                                                                                                                        
WA	53015001200	20065485	0	       7.747	       0.000	 46.1296556	-122.8729754                                                                                                                            
WA	53015001300	9875471	282139	       3.813	       0.109	 46.1770031	-122.8874011                                                                                                                        
WA	53015001501	406203719	15782886	     156.836	       6.094	 46.0371496	-122.4785461                                                                                                                    
WA	53015001502	71995519	9157327	      27.798	       3.536	 45.9208101	-122.7587171                                                                                                                      
WA	53015001600	106616316	4777343	      41.165	       1.845	 46.0301286	-122.7847551                                                                                                                     
WA	53015001700	393385300	696726	     151.887	       0.269	 46.1340403	-122.7497227                                                                                                                      
WA	53015001800	1149206221	6115930	     443.711	       2.361	 46.2507184	-122.4846521                                                                                                                    
WA	53015001900	292662779	8237081	     112.998	       3.180	 46.2455926	-123.0929788                                                                                                                     
WA	53015002001	227673779	1705599	      87.905	       0.659	 46.3315209	-123.0497709                                                                                                                     
WA	53015002002	188664478	6643672	      72.844	       2.565	 46.3203752	-122.8425640                                                                                                                     
WA	53015002100	3486459	422735	       1.346	       0.163	 46.1295964	-122.9272503                                                                                                                        
WA	53017950100	2155486865	59765120	     832.238	      23.075	 47.9098280	-119.5449568                                                                                                                   
WA	53017950200	2345375031	4156663	     905.554	       1.605	 47.5940007	-119.7789778                                                                                                                    
WA	53017950300	183770298	10002444	      70.954	       3.862	 47.3750711	-120.1554080                                                                                                                    
WA	53017950400	10707888	1262075	       4.134	       0.487	 47.4470216	-120.2927480                                                                                                                      
WA	53017950500	2347525	371217	       0.906	       0.143	 47.4186507	-120.2908202                                                                                                                        
WA	53017950600	5925851	0	       2.288	       0.000	 47.4260345	-120.2700042                                                                                                                             
WA	53017950700	2636824	0	       1.018	       0.000	 47.4111559	-120.2707239                                                                                                                             
WA	53017950800	5619046	917198	       2.170	       0.354	 47.3959117	-120.2644149                                                                                                                        
WA	53019940000	2807565551	120249116	    1084.007	      46.428	 48.2182274	-118.5224708                                                                                                                  
WA	53019970100	2004646391	15919649	     773.998	       6.147	 48.7935735	-118.4168881                                                                                                                   
