eid,aid,mainshock,mag,lon,lat,depth
136,74,DDMFZ_EQ1,5.31076377181,-122.388564032,48.3051685721,9.25614486941
137,75,DDMFZ_EQ1,4.90664393952,-122.614954511,48.3145526765,19.2392202103
138,76,DDMFZ_EQ1,4.57220566161,-121.624739447,48.2943051147,4.39801411223
139,77,DDMFZ_EQ1,4.60878458464,-123.409983625,48.5053850901,10.0293689763
140,78,DDMFZ_EQ1,4.56105063088,-122.186869886,48.4056855607,18.3327817201
141,79,DDMFZ_EQ1,4.68180485903,-121.603221008,48.2732287106,8.39419007707
142,80,DDMFZ_EQ1,5.15028403713,-122.196160599,48.5067806317,8.36930320514
143,81,DDMFZ_EQ1,4.70304472157,-122.732569832,48.4066939522,8.84195656131
144,82,DDMFZ_EQ1,4.66127140751,-122.543528204,48.3065694639,13.7970141576
145,83,DDMFZ_EQ1,5.02782239793,-122.956013722,48.4066231976,11.0133244098
146,84,DDMFZ_EQ1,4.532834975,-121.532298171,48.3428000185,15.6277573817
147,85,DDMFZ_EQ1,5.47474941626,-121.9868672,48.3503901276,18.318570281
148,86,DDMFZ_EQ1,4.50389344345,-123.230821325,48.4224623331,14.7871899991
149,87,DDMFZ_EQ1,4.88950647343,-121.609355204,48.2389707159,7.27146752316
150,88,DDMFZ_EQ1,5.626822143,-123.272420159,48.5815524796,18.9229104378
151,89,DDMFZ_EQ1,4.78769870324,-121.569046523,48.4959499022,8.23188597356
152,90,DDMFZ_EQ1,4.59303361197,-123.258362667,48.4404678095,6.39830872525
153,91,DDMFZ_EQ1,4.78064356631,-122.163882389,48.3592157159,5.43947646178
154,92,DDMFZ_EQ1,5.12655341017,-122.746534284,48.4811574684,13.0141398507
155,93,DDMFZ_EQ1,5.67103200128,-121.687642245,48.4121990443,5.82019939969
156,94,DDMFZ_EQ1,4.8085321345,-121.568591538,48.3053750231,6.2204141458
157,95,DDMFZ_EQ1,4.60877248569,-121.806370189,48.4690766396,8.80048768953
158,96,DDMFZ_EQ1,5.43352950121,-121.652547687,48.3630931906,8.50644815495
159,97,DDMFZ_EQ1,4.67339574524,-122.047773057,48.3684950995,13.6678321653
160,98,DDMFZ_EQ1,4.63457199392,-122.512372651,48.4687039659,17.0679244716
161,99,DDMFZ_EQ1,4.51549817107,-122.674080085,48.5614812638,16.1815944992
162,100,DDMFZ_EQ1,5.83266050522,-123.141468651,48.5643355011,8.19975127546
163,101,DDMFZ_EQ1,4.94232195992,-122.880459121,48.3334282858,7.92496796778
164,102,DDMFZ_EQ1,4.66753727958,-122.754747519,48.3982970249,19.4526644817
165,103,DDMFZ_EQ1,5.00904946906,-122.278243505,48.395828193,4.13177986547
166,104,DDMFZ_EQ1,4.78764486802,-122.434726698,48.3647410865,18.075528529
167,105,DDMFZ_EQ1,4.80812166234,-122.271033494,48.4621003543,7.19565630596
168,106,DDMFZ_EQ1,4.51883551597,-123.246989837,48.5812162955,19.1565491694
169,107,DDMFZ_EQ1,5.23425672108,-121.84569951,48.4310122302,9.47691655724
170,108,DDMFZ_EQ1,5.68079956981,-121.200504885,48.4503188683,11.0456283823
171,109,DDMFZ_EQ1,4.50146992022,-122.857656369,48.3903843377,15.3139298231
172,110,DDMFZ_EQ1,5.50990453056,-121.778841421,48.4610012844,13.4027048236
173,111,DDMFZ_EQ1,5.38627535714,-123.33304237,48.5728169607,9.08702927531
174,112,DDMFZ_EQ1,4.74636686957,-123.303144657,48.4535437394,12.8612946539
175,113,DDMFZ_EQ1,4.65931096593,-121.567438878,48.4048525573,15.6913101498
176,114,DDMFZ_EQ1,4.55916096379,-121.645987488,48.2372456449,4.67735913444
177,115,DDMFZ_EQ1,5.38033686497,-122.458330935,48.5035809008,4.17918888409
178,116,DDMFZ_EQ1,4.54298819026,-122.744408067,48.4558900558,11.3290710252
179,117,DDMFZ_EQ1,4.56139906848,-121.972129738,48.3156455419,6.10938588486
180,118,DDMFZ_EQ1,4.55230609985,-122.986981359,48.5128240058,14.6295086634
181,119,DDMFZ_EQ1,5.40683439042,-122.704386407,48.4842827161,7.42483929964
182,120,DDMFZ_EQ1,5.24106669644,-122.090529081,48.3041073468,10.9256177087
183,121,DDMFZ_EQ1,4.58380596392,-121.428641912,48.1922836995,7.16273498999
184,122,DDMFZ_EQ1,5.97073965662,-123.074311658,48.4551861601,12.775737372
185,123,DDMFZ_EQ1,5.13471139416,-121.822655093,48.3823182188,5.85685535015
186,124,DDMFZ_EQ1,4.5973070535,-123.229860203,48.5912625411,4.3697096446
187,125,DDMFZ_EQ1,5.53129320952,-122.273474838,48.5171496771,4.81810620971
188,126,DDMFZ_EQ1,5.23008016403,-122.668633168,48.4481902648,19.2681350642
189,127,DDMFZ_EQ1,4.58362404924,-123.306445308,48.5671500498,6.27657949777
190,128,DDMFZ_EQ1,4.88733515076,-123.307174595,48.4763202915,15.3356520502
191,129,DDMFZ_EQ1,4.74056380213,-122.167119465,48.4653251847,5.08681926757
192,130,DDMFZ_EQ1,4.53788046877,-121.832439976,48.2784189988,5.73056563576
193,131,DDMFZ_EQ1,4.52817091091,-123.132661205,48.4418917232,12.1420200225
194,132,DDMFZ_EQ1,5.71291860265,-122.318876666,48.4476116389,11.4379348825
195,133,DDMFZ_EQ1,4.85420078596,-121.809205843,48.219417109,19.225284951
196,134,DDMFZ_EQ1,5.50100544788,-123.354931614,48.5624893789,19.1173672483
197,135,DDMFZ_EQ1,5.81834774909,-121.771583424,48.4514033076,16.4737382807
198,136,DDMFZ_EQ1,4.60962673119,-121.409168131,48.2916767904,13.633629282
